ticket_id,subject,message,category,priority
183,Feature Request: Dark Mode Option,"I love your product, but I'd really appreciate a 'dark mode' option for the user interface. It would be much easier on my eyes, especially during late-night use.",feature_request,low
184,How to export data to CSV?,Could you please tell me how to export my project data into a CSV file? I can't seem to find the option anywhere in the settings or dashboard.,general_query,medium
185,App crashing on iOS 17.5,"Your mobile app crashes immediately after launch on my iPhone running iOS 17.5. I've tried reinstalling it, but the problem persists. My device is an iPhone 14 Pro Max.",technical_issue,high
186,Update Payment Method Failure,"I'm trying to update my credit card information for my subscription, but I keep getting an error message 'Invalid card details' even though the details are correct. My account ID is ABC12345.",billing,medium
187,Change primary email address,I need to change the primary email address associated with my account from old.email@example.com to new.email@example.com. How can I do this securely?,account_access,medium
188,Question about refund policy,"I recently purchased a yearly subscription but realized it's not what I need. I'd like to know if I'm eligible for a refund, and what your refund policy is for yearly plans.",general_query,low
189,Improve API documentation clarity,The API documentation for endpoint /api/v1/data/{id} is a bit unclear regarding the required headers. Could you please clarify the expected format or add more examples?,feature_request,low
190,Two-factor authentication not sending codes,"I enabled 2FA, but I'm not receiving the authentication codes via SMS. This is preventing me from logging in. My phone number is +1-555-123-4567.",account_access,high
191,Error 500 when uploading files,"Whenever I try to upload a file larger than 10MB, I receive a 'Server Error 500'. Smaller files work fine. Is there a file size limit or a bug?",technical_issue,medium
192,Cancel subscription and delete account,I wish to cancel my monthly subscription and completely delete my account and all associated data. Please confirm when this has been processed. Account email: delete.me@example.com,billing,medium
193,Add integration with Slack,Many of our team's notifications come through Slack. It would be incredibly useful if your platform had a native integration to send alerts or updates directly to Slack channels.,feature_request,medium
194,What's the difference between Basic and Premium plans?,"I'm trying to decide between your Basic and Premium plans. Can you provide a more detailed breakdown of the features and limitations for each, especially regarding storage and user limits?",general_query,low
195,Dashboard data not refreshing,The data displayed on my dashboard hasn't updated in the last 24 hours. It seems stuck on yesterday's figures. I've tried refreshing the page and clearing my cache. My user ID is U12345.,technical_issue,medium
196,Invoice for last month is missing,I did not receive an invoice for my service for the month of October. Could you please resend it to my registered email address? I need it for my accounting.,billing,low
197,Account locked after multiple failed attempts,My account (email: blocked@example.com) is currently locked because I entered the wrong password too many times. Please unlock it so I can try again.,account_access,high
198,Request for custom reporting features,"We require more flexible reporting options. Specifically, the ability to create custom reports with filters for specific date ranges and user groups would be a huge benefit for our team.",feature_request,medium
199,General inquiry about service uptime guarantee,I'm evaluating your service for a critical application. Can you provide details on your service uptime guarantee and any associated SLAs?,general_query,low
